========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
========== 第三矩阵 ==========,,,,,,,,
,UFx,UFy,UFz,UMx,UMy,UMz,,
Fx,-1.13648156,0.03099843,-0.01284367,-0.00887439,-1.12797572,0.00224437,,
Fy,-0.01641326,-1.13150308,0.00224776,1.09939780,-0.00901549,0.00509703,,
Fz,0.04163297,0.03161488,-0.96470881,-0.06363596,0.05095458,-0.00021708,,
Mx,-0.00033989,-0.00979419,0.00104773,0.02118345,-0.00038507,0.00019826,,
My,0.01022487,-0.00034840,-0.00021445,0.00029103,0.02219094,-0.00093777,,
Mz,0.00037815,0.00053431,0.00092531,-0.00046843,0.00000314,-0.02908107,,
,,,,,,,,
,,,,,,,,
"========== 解耦后数据 (Fx', Fy', Fz', Mx', My', Mz') ==========",,,,,,,,
Fx',Fy',Fz',Mx',My',Mz',,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
200.12200153,0.48943326,-0.01829180,-0.02065377,-0.24954623,0.11578436,,,
400.06387052,0.71295815,0.72810224,0.00002957,-0.62206554,0.13758119,,,
599.97384479,0.53998563,1.94330278,0.03416063,-1.09021871,0.06431764,,,
799.47641238,0.63970981,3.15549875,0.05734538,-1.61855829,0.06831198,,,
998.84282589,-2.34864560,4.41405008,0.12006081,-2.09209684,-0.70057886,,,
799.03152934,-2.74024308,1.97023793,0.09252660,-1.29424479,-0.61225585,,,
598.99269506,-3.30807536,0.83262168,0.08505862,-0.72573247,-0.64076841,,,
399.01968223,-3.75949874,-0.24630037,0.06246541,-0.27615208,-0.63958432,,,
199.09187597,-4.17587243,-0.68999665,0.01021405,-0.01776717,-0.60666422,,,
-0.74509754,-2.11065759,-0.59114317,-0.01500133,0.07316105,-0.00278733,,,
199.31862240,-1.14035576,-0.82449067,-0.04971285,-0.21254676,0.12493440,,,
399.56246015,-1.11949487,0.14135808,-0.01617860,-0.56373275,0.08551101,,,
599.43587940,-0.95637198,1.32710389,0.00933892,-1.02283608,0.07077174,,,
799.15846976,-0.63116785,2.45176207,0.03404669,-1.53377850,0.08277731,,,
998.55542600,-1.91560351,3.40505631,0.07495558,-2.02603417,-0.28325802,,,
798.86684925,-2.15910368,1.21453327,0.05850842,-1.22629113,-0.22707375,,,
598.76704506,-2.60851822,-0.22041622,0.03658699,-0.69618143,-0.26350242,,,
399.04639922,-3.07394887,-1.27100725,0.00787062,-0.25798989,-0.28112657,,,
199.02813833,-3.40937181,-1.62615303,-0.00449566,0.02827281,-0.24516930,,,
-1.07282905,-2.72563736,-1.22941737,-0.04246121,0.02212478,0.00846353,,,
199.21928368,-1.95939709,-1.25289697,-0.06053451,-0.22188878,0.12590403,,,
399.19907322,-1.83577076,-0.26045722,-0.02346788,-0.56799615,0.08639667,,,
599.32583105,-1.50687279,0.49418505,-0.01432510,-1.04374564,0.08488445,,,
798.93824100,-1.16862805,1.74746581,0.01583341,-1.54802860,0.10110668,,,
998.36267823,-1.20349011,2.66065709,0.04168913,-2.01866828,-0.00415178,,,
798.73605570,-1.57545675,0.76059228,0.05890540,-1.18159396,0.03881962,,,
598.73089965,-2.14794134,-0.53597455,0.02903995,-0.64971028,-0.00560906,,,
398.72694848,-2.51008494,-1.90072019,-0.01279428,-0.24192379,-0.03299222,,,
198.64125909,-2.80638677,-2.17464697,-0.01740652,0.06155608,-0.01080514,,,
-1.27525152,-3.20352165,-1.68989110,-0.01995104,0.06801989,0.00572016,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
-200.60014696,-0.35271865,0.93701004,0.03393144,-0.24771780,-0.02893703,,,
-401.09476512,-1.14607963,0.55525396,0.05392996,-0.39781884,-0.11819696,,,
-601.51904907,-1.50546794,0.31358047,0.05904899,-0.60155769,-0.14961765,,,
-801.82689538,-1.69187337,1.71109251,0.06703138,-1.20611230,-0.14170188,,,
-1001.98580843,-2.16651627,3.25684112,0.06298304,-1.92853816,-0.19273228,,,
-801.19493107,-1.88749641,2.07118326,0.02336066,-1.52403708,-0.19276847,,,
-600.11275658,-1.65994018,0.84213269,0.02145546,-0.94611251,-0.19234126,,,
-399.93356360,-1.15737848,0.81803248,0.01704557,-0.66466832,-0.15817846,,,
-199.80863711,-0.30657128,1.44651091,0.00013163,-0.57060361,-0.03435570,,,
0.41560163,-0.01329038,-0.21343134,-0.00931820,-0.04403599,0.00585923,,,
-200.18423151,-0.42523730,0.73725484,0.04068869,-0.25523672,-0.02091516,,,
-400.73118535,-1.05694946,0.41145486,0.05801836,-0.40529911,-0.09700126,,,
-601.21357950,-1.60388959,-0.01935996,0.04762003,-0.60130300,-0.15476675,,,
-801.58573054,-1.83999355,1.26471307,0.05728913,-1.20772383,-0.14614387,,,
-1001.86946952,-2.08576053,2.99308425,0.05476565,-1.99789859,-0.16550135,,,
-801.00793502,-1.92059427,1.91675194,0.02444437,-1.52670866,-0.17059149,,,
-599.82975676,-1.71760126,0.35020264,0.00720694,-0.96317507,-0.18068490,,,
-399.55202417,-1.23710100,0.35495371,0.00829632,-0.67295716,-0.14087752,,,
-199.40151297,-0.40623096,1.00979364,0.00328563,-0.58563108,-0.02531931,,,
0.77191096,-0.10886988,-0.47508715,0.00955712,-0.07649440,0.01103887,,,
-199.91388686,-0.56425101,0.44833259,0.05023021,-0.28605579,-0.02479527,,,
-400.43804311,-1.25603136,0.15583419,0.05095276,-0.44046581,-0.10481437,,,
-600.85708055,-1.71843805,-0.23718492,0.04544227,-0.64364827,-0.14981672,,,
-801.50400925,-1.96506232,0.93330053,0.04453152,-1.22934021,-0.14710543,,,
-1001.72753977,-2.26952479,2.62992310,0.04881024,-1.95843737,-0.15224878,,,
-800.88765507,-1.98893217,1.53595926,0.01146530,-1.53909246,-0.15863034,,,
-599.82108536,-1.60479486,0.27968049,0.01165093,-0.98540777,-0.15703132,,,
-399.61890338,-1.27692560,0.15512599,0.01829358,-0.68137226,-0.13162789,,,
-199.38046386,-0.48411521,0.71850888,0.02113296,-0.60044202,-0.01869271,,,
0.78560041,-0.19086991,-0.75721658,0.01460447,-0.13973217,0.01070348,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
0.12546555,199.68738778,1.71157135,0.82459556,0.05908074,-0.01160310,,,
-0.56573452,399.40298181,3.98113670,1.60014633,0.06377018,0.13903620,,,
-1.10660974,598.64347101,6.60905084,2.37691949,0.05905034,0.26016882,,,
-1.27384893,798.00356485,9.03797001,3.16864810,0.04866170,0.30980665,,,
-1.18471115,997.18184689,11.25820102,3.96202880,0.03494341,0.30215172,,,
-0.47114484,797.56213326,8.38537472,2.83102694,0.04240180,0.15240132,,,
-0.26967087,598.19942934,5.96716165,2.01486064,0.06475572,0.09504239,,,
0.09614148,399.06436884,3.57899890,1.26455432,0.07021507,0.01537201,,,
0.61484143,199.15891735,1.49209794,0.55540925,0.04254207,-0.10881267,,,
0.11427705,0.05548717,-0.27438601,0.02672934,0.01710982,0.00150759,,,
0.16393853,199.86182677,1.87949715,0.84052167,0.07083772,0.00609281,,,
-0.50470045,399.30137761,3.94423490,1.60957675,0.09143887,0.17199649,,,
-1.10918498,598.60085151,6.66233948,2.37767258,0.08001887,0.28391681,,,
-1.47407976,798.08692674,8.94623391,3.18460463,0.07295250,0.37886805,,,
-1.68194884,997.24110199,11.29260104,3.97915727,0.05464897,0.44129567,,,
-0.93547425,797.66963869,8.31736696,2.86205953,0.08193311,0.28429131,,,
-0.72296191,598.28049153,5.92090617,2.04225180,0.08899622,0.21567128,,,
-0.36404613,398.56274684,3.54695270,1.28721130,0.08866487,0.13503259,,,
0.11572871,199.21533123,1.42574835,0.60530036,0.06809736,0.02159261,,,
0.15207011,-0.10466419,-0.32045170,0.00406205,0.03857904,0.00358579,,,
0.09354466,199.71788904,1.58807435,0.81933662,0.08822291,0.02598984,,,
-0.59753766,399.28552454,3.80272659,1.58185899,0.10474290,0.17900712,,,
-1.12744709,598.71391481,6.36923071,2.36682022,0.10357132,0.30734851,,,
-1.47379391,798.11515806,8.97712897,3.14290028,0.08857293,0.39729180,,,
-1.85401233,997.34490711,11.12290331,3.95334606,0.07723320,0.49055977,,,
-1.14794567,797.71018107,8.34178712,2.82703699,0.08365161,0.32619724,,,
-0.94141218,598.32747638,5.84574489,2.00240128,0.09284835,0.26163597,,,
-0.50922528,398.78266357,3.60303709,1.24875837,0.08686901,0.17104929,,,
-0.05404620,199.24973867,1.41473774,0.56453379,0.06601999,0.07014921,,,
0.24321409,0.07952387,-0.46303008,-0.01116648,0.03990316,0.00175946,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
0.14046755,-200.04860844,1.15221983,0.30183029,0.00267480,-0.04427067,,,
-0.00139003,-400.57257281,2.65446834,0.80920109,-0.01708837,-0.02434235,,,
-1.15186507,-601.50120042,4.66222085,1.55437982,-0.02457518,0.19454556,,,
-1.84158511,-802.31541885,6.43003888,2.30278870,-0.05962287,0.35106459,,,
-2.97240486,-1003.17736045,9.40238873,3.32436427,-0.10549762,0.56549096,,,
-2.06064502,-801.84474095,6.81723693,2.61969887,-0.01437604,0.38122921,,,
-1.59749261,-600.89257375,5.04363293,1.97595380,0.01895688,0.29420739,,,
-1.09760058,-400.02799550,3.20077893,1.29629268,0.03490368,0.21461996,,,
-0.75421171,-199.35894626,1.23203150,0.66208948,0.01265027,0.13473765,,,
0.13097197,0.27583825,-0.21175231,0.08648937,-0.00930509,0.00069061,,,
0.26568550,-199.67059021,1.01736763,0.30984058,0.00101713,-0.04133672,,,
0.20501671,-400.35833329,2.27015629,0.82950476,0.01444359,-0.02208456,,,
-0.90475526,-601.08255436,4.38113467,1.54890752,0.00246901,0.17250817,,,
-1.61012272,-801.84777779,6.17116206,2.35407593,-0.01287389,0.31151435,,,
-2.66936692,-1003.00095929,9.10011327,3.38279032,-0.04645807,0.52290388,,,
-1.77293081,-802.09933624,6.65317542,2.64641368,0.01463993,0.33168558,,,
-1.39316945,-600.92051485,4.64464892,1.95330401,0.03004631,0.24309954,,,
-0.75413164,-399.90019370,2.87738069,1.25150011,0.02439834,0.14034262,,,
-0.38171820,-199.15923076,1.05002670,0.61155618,-0.00973936,0.07540212,,,
0.09045292,0.42952460,-0.21604202,0.10070545,-0.05601730,0.00012900,,,
0.19178748,-199.43990985,0.89827187,0.33842241,-0.01110984,-0.01154168,,,
0.29373658,-400.20020582,2.23802187,0.82074419,0.00873109,-0.01740970,,,
-1.10891339,-601.08305109,4.52702270,1.86545111,0.04681557,0.23136661,,,
-1.54507125,-801.86085964,6.15838377,2.38505674,0.00512979,0.32268221,,,
-2.57504855,-1002.79396629,8.92498927,3.37077186,-0.05145108,0.52772729,,,
-1.61627735,-801.66384693,6.40773301,2.70822164,0.05363406,0.33994883,,,
-1.32883691,-600.75139072,4.59010597,1.98574024,0.04467751,0.25876797,,,
-0.75012189,-399.83510570,2.70683938,1.29165756,0.01973635,0.14787954,,,
-0.46120222,-199.04730979,0.94457905,0.63111691,-0.02045562,0.07758217,,,
0.08451950,0.56457385,-0.27232935,0.15636360,-0.06917338,0.00122758,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
-0.20290517,0.01526028,300.25531117,0.03973410,-0.04864566,-0.01605783,,,
-0.30630260,0.19639940,600.26605772,0.03957872,-0.07651388,-0.03363295,,,
-0.48151571,0.42139389,900.43217270,-0.00776904,-0.07595383,-0.04282656,,,
-0.69351174,0.72923497,1200.09748652,-0.07788527,-0.08595392,-0.04753452,,,
-0.80149406,1.11803577,1499.47374237,-0.15515143,-0.06341273,-0.05052957,,,
-1.17127092,0.26859361,1200.17491771,-0.05823415,-0.06338602,-0.03338852,,,
-1.30722341,-0.17089714,900.20251216,0.00145092,-0.06148832,-0.02019994,,,
-1.09896365,-0.36902610,600.15664208,0.02466201,-0.05244742,-0.00906935,,,
-0.76333976,-0.49067604,299.97691406,0.04476980,-0.01578318,0.00087054,,,
0.06074042,-0.09686169,-0.11923112,-0.01000009,0.02282065,0.00863936,,,
-0.15027969,-0.03451324,299.77451269,0.02599331,-0.03132521,-0.00813705,,,
-0.28499395,0.13096992,600.18979524,0.01199933,-0.05366641,-0.02303445,,,
-0.36891923,0.30139493,900.32126020,-0.02613789,-0.06450238,-0.03274092,,,
-0.58871456,0.73810865,1200.05605793,-0.07878857,-0.07610615,-0.03740195,,,
-0.64782395,1.21861486,1499.18209778,-0.15361756,-0.05530277,-0.04020834,,,
-1.06637150,0.34925651,1200.05059154,-0.06416332,-0.05290213,-0.02033837,,,
-1.13696184,-0.06967930,900.16737888,-0.00890169,-0.04292915,-0.00773575,,,
-0.90308071,-0.37691645,600.09152862,0.01160753,-0.03555397,0.00465305,,,
-0.59951884,-0.47764274,299.86034717,0.03023011,-0.00559129,0.01328779,,,
0.10167058,-0.13597217,-0.22534184,-0.02207668,0.02974791,0.02074177,,,
-0.05168951,-0.05968086,299.72530534,0.01979705,-0.01894565,0.00367627,,,
-0.08708226,0.02626972,600.12815947,0.00347362,-0.03975580,-0.01038307,,,
-0.27414944,0.31544189,900.19607049,-0.02492242,-0.04550182,-0.02369557,,,
-0.48270159,0.65736472,1199.94426640,-0.07805554,-0.06525954,-0.03017924,,,
-0.62917313,1.08909888,1499.10464034,-0.14513504,-0.05159260,-0.03149705,,,
-0.88567633,0.33084867,1200.01552533,-0.06296350,-0.03759998,-0.01200905,,,
-1.01113709,-0.11615654,900.16496034,-0.00946185,-0.02595925,0.00183072,,,
-0.93520904,-0.36056193,600.00171338,0.01226857,-0.01725068,0.01261439,,,
-0.56424101,-0.51793176,299.76083194,0.02650339,0.00225500,0.01926341,,,
0.17145142,-0.09824525,-0.27619962,-0.03828123,0.04183252,0.02597887,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
0.30039661,0.11593813,-40.05723071,-4.68024401,0.13658737,-0.08524414,,,
-0.13041559,0.01526803,-80.02823798,-9.56642174,0.09869865,-0.09206750,,,
-0.34686593,-0.12031668,-120.18611475,-14.51349152,0.04891189,-0.11290722,,,
-0.82421032,-0.63795861,-160.23116527,-19.39554461,-0.00993426,-0.12353770,,,
-0.97649621,-1.77094944,-200.17243137,-24.16901128,-0.06336391,-0.17101360,,,
-3.08150971,2.81771838,-159.43799005,-20.16016336,-0.30820984,0.10559685,,,
-2.92089049,6.60142227,-119.58474437,-15.83656934,-0.25109218,0.12904897,,,
-2.46160795,9.69329670,-79.85606566,-11.41568486,-0.20361357,0.12419388,,,
-1.77969100,8.95344268,-39.84263803,-6.36353233,-0.16858190,0.09300609,,,
-0.67851437,0.05356436,0.00338394,-0.14876925,-0.07108882,-0.00331643,,,
-0.42617563,0.31343963,-39.97831509,-4.78347284,0.10146325,-0.06472146,,,
-0.79443959,0.39769905,-80.01695062,-9.67823296,0.08346577,-0.06536108,,,
-1.17570835,0.29599196,-120.17230606,-14.61161802,0.01296188,-0.07037985,,,
-1.30223134,-0.11106435,-160.25909284,-19.49239087,-0.04910797,-0.10176513,,,
-1.23704897,-1.28576638,-200.22771925,-24.24935394,-0.10946978,-0.17092238,,,
-3.30486103,3.52434595,-159.60428090,-20.27741684,-0.32966200,0.12242853,,,
-2.86594108,6.99726825,-119.58926142,-15.88497084,-0.23211927,0.11573453,,,
-2.48564516,10.24193430,-79.93535144,-11.48515427,-0.19897145,0.12400716,,,
-1.92705374,8.78061468,-39.80070537,-6.30699706,-0.15906919,0.10409084,,,
-0.64482181,0.12592399,0.12731597,-0.15277754,-0.03852826,-0.00221804,,,
-0.37406058,0.41903641,-39.97117791,-4.82986209,0.10946824,-0.06904393,,,
-0.78244078,0.59760155,-80.02284944,-9.72159934,0.08712734,-0.06722709,,,
-1.11047087,0.82630842,-120.28698039,-14.71078239,0.03433985,-0.08363964,,,
-1.36457443,0.37269804,-160.49503164,-19.60286018,-0.05569912,-0.10489554,,,
-1.37926808,-0.80975780,-200.38369084,-24.28801032,-0.14683229,-0.15340697,,,
-3.30828794,3.95635471,-160.09684102,-20.31197615,-0.31970106,0.11958492,,,
-2.83599318,7.44248500,-119.99054373,-15.92981471,-0.21174340,0.10831302,,,
-2.61060945,10.51330055,-80.02126194,-11.51797513,-0.19969297,0.12984393,,,
-1.78792409,8.71631246,-40.19090132,-6.31211879,-0.13179167,0.09502942,,,
-0.57064787,0.19241631,0.04595735,-0.16550274,-0.03290419,-0.00199221,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
0.22410309,1.19773715,-39.81467157,4.50744023,0.12435031,0.08762455,,,
-0.04294286,2.19454973,-79.69799853,9.19194707,0.10971047,0.11176599,,,
-1.02932393,2.93840188,-119.94650834,14.07345085,-0.01753283,0.04060904,,,
-1.97779037,4.18774567,-159.97428724,18.82709042,-0.16389983,-0.02412286,,,
-2.70028768,5.68127989,-199.93063369,23.54490450,-0.32101304,-0.06112390,,,
-2.33103531,2.61389076,-160.29950574,19.34601666,-0.16839515,-0.06333960,,,
-1.43869001,0.26145942,-120.28851570,14.82085122,-0.02971891,-0.00794432,,,
-0.78779357,-1.64081554,-80.13732403,10.17648516,0.05804115,0.03085082,,,
0.08261756,-3.14251990,-40.10091140,5.48814313,0.09885064,0.07755697,,,
0.04957215,0.02979949,-0.04085599,0.10664973,-0.04496347,0.00330394,,,
-0.07565867,1.38885535,-39.80805414,4.55608526,0.07427685,0.05189980,,,
-0.48512992,2.03286373,-79.78266289,9.32628916,0.07462412,0.06254637,,,
-1.21362517,2.79984916,-119.81561610,14.15596365,-0.03547751,0.01233925,,,
-2.24524092,3.70695299,-159.85032661,18.96613555,-0.19413880,-0.05614100,,,
-3.01696425,4.99697533,-200.09975117,23.72858988,-0.32598078,-0.09298399,,,
-2.46462682,2.10306323,-160.26767299,19.45824727,-0.18145781,-0.07889207,,,
-1.53766481,-0.11378227,-120.29346099,14.91609585,-0.03152790,-0.01728755,,,
-0.75406947,-1.86612433,-80.19358766,10.25907694,0.06494131,0.03618477,,,
-0.18819755,-3.28524075,-40.25732815,5.55089210,0.06390630,0.04453995,,,
0.02380594,0.18600051,0.01688935,0.13669764,-0.06202779,-0.00069285,,,
-0.06669542,1.35534340,-39.83401113,4.60772868,0.05415063,0.03408866,,,
-0.39256261,2.03132916,-79.77831535,9.38300331,0.06907716,0.04917852,,,
-1.22053914,2.67572072,-119.87461706,14.21994199,-0.04140350,0.00093331,,,
-2.17273734,3.86920668,-159.95369310,18.99315275,-0.18847077,-0.06266335,,,
-3.03429184,5.15321100,-200.05936735,23.74238902,-0.33100641,-0.10122927,,,
-2.47976877,2.28422978,-160.32121611,19.48212226,-0.17360024,-0.08159053,,,
-1.45486073,0.15808378,-120.15087870,14.88482046,-0.03764230,-0.01974060,,,
-0.82020258,-1.73577694,-80.05933676,10.23711831,0.03759141,0.02186354,,,
-0.28333924,-3.22064210,-40.11128322,5.55663211,0.04454754,0.02780401,,,
0.08638258,0.17025157,0.06544935,0.14131825,-0.05380424,0.00175861,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
0.26603249,0.37543639,-39.36181307,-0.05394002,4.81094355,0.05902293,,,
0.06604411,-0.32785699,-79.69897904,0.07288078,9.67456050,-0.01435749,,,
-1.16269523,-0.86266602,-119.75018735,0.15802402,14.46792770,-0.05361473,,,
-3.05973188,-1.56955001,-160.20491451,0.26751869,19.10111850,-0.11763423,,,
-5.51336574,-2.23193068,-200.46143178,0.39921870,23.62257984,-0.17402387,,,
-1.31287979,-1.29662362,-160.34607112,0.20556656,19.59787215,-0.08988794,,,
1.55040192,-0.55737193,-120.12970338,0.07985973,15.14216011,-0.02883649,,,
3.27204740,-0.17530281,-80.01800927,-0.01136649,10.41711676,0.00068008,,,
3.37978547,0.28603821,-39.66094881,-0.07093139,5.47783081,0.02815107,,,
0.07531462,0.16833077,0.02504011,-0.04275743,0.08518905,0.00043936,,,
0.59060256,0.58418816,-39.44802605,-0.11489563,4.92753803,0.06597414,,,
0.51835384,-0.22201250,-79.50087783,0.00238469,9.78703021,-0.00467468,,,
-0.43368954,-0.71125650,-119.82527790,0.11041804,14.59162285,-0.04993940,,,
-2.52637945,-1.38464947,-160.21238563,0.22463101,19.21381417,-0.10262272,,,
-5.13010504,-2.06959160,-200.40025968,0.34539691,23.70991832,-0.16778343,,,
-0.76845785,-1.14083408,-160.61664466,0.16958931,19.71102915,-0.08362060,,,
2.09338431,-0.39603947,-120.26326940,0.04751580,15.24246743,-0.01847906,,,
3.69472948,0.08805640,-80.07293716,-0.03385686,10.52738221,0.01427377,,,
3.86811550,0.43050852,-39.66417969,-0.11293774,5.56648388,0.04179906,,,
0.06901238,0.27311499,0.08726277,-0.06872168,0.11203485,0.00082489,,,
0.71216696,0.58236392,-39.40592435,-0.13160498,4.95730713,0.06629096,,,
0.79192789,-0.10755132,-79.78934909,-0.01399399,9.85443083,-0.00240379,,,
-0.32853829,-0.72901415,-120.03834307,0.09778867,14.61363099,-0.04838195,,,
-2.38985345,-1.24827926,-160.30969674,0.21868298,19.25375168,-0.09678679,,,
-4.94705011,-1.96987268,-200.61625471,0.34154465,23.76171409,-0.16042725,,,
-0.58696540,-0.90246523,-160.62588537,0.15682349,19.74128933,-0.06629528,,,
2.42817884,-0.22310375,-120.28949014,0.04086648,15.28984497,-0.01273256,,,
3.87847557,0.14698026,-79.97930182,-0.05522219,10.55626620,0.01569985,,,
4.14638791,0.68413302,-39.73070456,-0.12729534,5.62180165,0.05542781,,,
0.04857143,0.38235044,0.05595815,-0.08348318,0.06888715,0.00050177,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
-0.42362711,-0.83875282,-39.66820979,0.11845482,-4.72336854,0.04299050,,,
-0.85514561,-1.70067632,-79.79662773,0.24425691,-9.67004477,0.08691815,,,
-0.32954649,-2.06603283,-120.10111869,0.32066214,-14.58546439,0.07722017,,,
-0.03721114,-1.43661159,-160.34668595,0.26109641,-19.49534342,-0.04122648,,,
0.23304470,-1.05300942,-200.38257036,0.20805841,-24.40580779,-0.14417041,,,
-1.15188262,-1.57123505,-160.12235180,0.27136155,-19.69302901,-0.02695064,,,
-3.09646019,-1.72718912,-119.97427444,0.24552320,-15.14651029,0.03886247,,,
-4.26924187,-0.95414840,-80.00518506,0.11871951,-10.43153992,0.00109017,,,
-4.14813350,-0.65204874,-39.93048993,0.09178065,-5.55162365,0.02351639,,,
-0.23135359,-0.03377096,-0.09745254,0.02208696,-0.19338801,-0.00574411,,,
-0.21491540,-0.70341054,-39.83723522,0.10666673,-4.75519243,0.03366592,,,
-0.11515912,-1.05098484,-80.01123578,0.14774397,-9.63975686,0.02201846,,,
0.18809407,-1.41737550,-120.03413779,0.20822008,-14.50957762,0.01191671,,,
0.57984253,-0.98070162,-160.29658701,0.15403174,-19.41636363,-0.09770630,,,
0.90071931,-0.59584658,-200.37665576,0.10827939,-24.30658207,-0.20414876,,,
-1.80153251,-0.82584081,-160.32028625,0.11667478,-19.94109897,-0.11931781,,,
-3.50141173,-0.79160806,-120.00656690,0.09721244,-15.27360984,-0.06598084,,,
-4.28398849,-0.01157628,-79.97931348,-0.00893870,-10.49802085,-0.11241602,,,
-4.76880590,0.40560237,-39.99689129,-0.04973456,-5.72304390,-0.10827432,,,
-0.33117025,-0.01517636,-0.19833842,0.02686431,-0.23026199,0.00237548,,,
-0.10965885,-0.55921170,-39.81619964,0.09642952,-4.77090396,0.02817340,,,
0.15807264,-0.89689233,-79.97991570,0.13961098,-9.59687536,0.01606642,,,
0.39100989,-1.18819114,-120.05686761,0.18733904,-14.49624739,0.00234507,,,
0.84683121,-0.77014767,-160.25041725,0.13714865,-19.39008832,-0.10399459,,,
1.31931122,-0.58211293,-200.40314540,0.11200214,-24.25621661,-0.18437904,,,
-1.63966230,-0.51761683,-160.52840485,0.10127885,-19.92738501,-0.13606429,,,
-3.31219731,-0.63576376,-120.06987949,0.07809465,-15.27165007,-0.07888137,,,
-4.25141404,0.12252633,-80.04908963,-0.01592517,-10.50941320,-0.11055508,,,
-4.25279003,0.15562269,-40.04035607,-0.01823994,-5.65411927,-0.05764539,,,
-0.25483913,0.11504178,-0.07709849,-0.00857024,-0.24445651,0.00655196,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
-1.11345553,-79.66186490,0.84466387,0.12795106,0.06359628,10.02404252,,,
-2.11901714,-160.06131543,1.57393334,0.25924652,0.05422878,20.02045860,,,
-0.46402626,-240.24996573,2.22862976,0.47297911,0.08493393,29.51779393,,,
0.90125580,-320.65517464,2.51458763,0.61798247,0.06206305,39.06477458,,,
1.28853059,-400.80933221,2.60865328,0.72470592,0.00670248,48.69585754,,,
1.54545952,-320.81594724,2.41548869,0.73491599,0.09940837,38.88818045,,,
1.84017731,-240.53391089,2.23334147,0.58954414,0.13333542,29.06195565,,,
1.98676122,-160.26323192,1.35786724,0.39383114,0.10841865,19.28877985,,,
1.22365800,-79.88781662,0.75338427,0.20948077,0.09274056,9.62924710,,,
0.04568604,0.08447443,-0.02971714,0.01932047,0.03488407,0.10908527,,,
-0.92953339,-79.63552192,0.87084233,0.13283902,0.09751327,10.09110803,,,
-1.96164694,-160.03231867,1.61351899,0.27237883,0.09465065,20.11488793,,,
-0.56075545,-240.26722741,2.19907435,0.48170686,0.11222540,29.64436089,,,
0.63314884,-320.56634263,2.49268761,0.62421989,0.08756916,39.19491948,,,
1.06662564,-400.84092440,2.66866308,0.75441094,0.03735054,48.85648943,,,
1.32323854,-320.80177091,2.58097566,0.73558347,0.12473632,39.03880822,,,
1.73961930,-240.43562140,2.13724172,0.59924880,0.15568366,29.20355055,,,
1.70093523,-160.15611168,1.39107445,0.39342526,0.13491347,19.41543738,,,
0.92845638,-79.84732676,0.95334629,0.21144925,0.11933531,9.79268226,,,
0.08542523,0.13766823,0.05616758,0.01679153,0.05730333,0.17449401,,,
-0.99201080,-79.51188267,0.88218696,0.13789691,0.11817992,10.17401808,,,
-1.86046729,-159.91684090,1.55527425,0.27251143,0.11028403,20.15989628,,,
-0.60123418,-240.17429112,2.12274600,0.49888093,0.14257527,29.71114973,,,
0.59047253,-320.32000561,2.51303318,0.62662573,0.11190583,39.24621287,,,
0.90717744,-400.74341852,2.63352117,0.77550015,0.05634622,48.93646901,,,
1.22105133,-320.69309966,2.55388099,0.76373984,0.15274912,39.11705459,,,
1.54621182,-240.27451386,2.10745106,0.60081057,0.18207213,29.28358465,,,
1.55954354,-160.12542332,1.42114577,0.38350268,0.15497146,19.50023877,,,
0.80401364,-79.64373870,0.84358392,0.21064208,0.14450009,9.85097417,,,
0.09106049,0.20886356,0.04821397,0.01199000,0.08897839,0.21922254,,,
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
0.15741979,-79.70583520,0.96416560,0.15554442,0.01551982,-9.79405326,,,
0.99519119,-160.03350699,1.85006079,0.32697186,0.00976613,-19.75428070,,,
1.00916762,-240.45636283,2.56598346,0.54132922,0.01351942,-29.53807432,,,
0.86462506,-320.93718076,2.87684270,0.66481814,0.06497820,-39.34049086,,,
0.56533390,-401.18143992,2.75179843,0.77517942,0.10055959,-49.20617346,,,
0.49261405,-320.62973039,2.69198883,0.76637686,0.06980539,-39.35824662,,,
-0.63775005,-240.25239832,2.06950244,0.62207847,0.06725193,-29.36667741,,,
-1.38552603,-160.12395295,1.56189396,0.43812687,0.03646960,-19.39649879,,,
-1.41923169,-79.64514472,1.04452610,0.29790198,-0.00531935,-9.48120899,,,
-0.04298154,0.04227467,-0.03220636,0.02467105,0.01898079,0.10113402,,,
0.31123715,-79.58429926,0.89236038,0.09319122,0.03255140,-9.71825436,,,
